# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
1.074963172908667275e+01 6.322900000000000000e+04 7.194609642925767212e-02 2.375184144153067223e+01 5.541689032882004540e-01 5.767004528016437259e-01 7.127659806461826841e-01 8.656227469607807867e-01
1.085684856030880852e+01 6.513300000000000000e+04 7.024901548339612667e-02 2.363157086965459186e+01 5.443498344405376388e-01 5.671203137463760591e-01 7.048337199722775059e-01 8.472413137752725643e-01
1.096385787079884366e+01 6.570700000000000000e+04 6.892095662009664614e-02 2.348531423600654477e+01 5.366571917928446567e-01 5.595879277379874894e-01 6.985425270991457714e-01 8.366832515314935881e-01
1.107082191737946708e+01 6.756100000000000000e+04 6.791537144522970249e-02 2.337193244946622528e+01 5.301118809398522869e-01 5.533098531255280506e-01 6.939923127891191035e-01 8.297964442337305568e-01
1.117791035998506288e+01 6.850500000000000000e+04 6.579238027255865373e-02 2.302393290701975559e+01 5.168489243083347340e-01 5.399250156223652786e-01 6.802212435482803965e-01 8.064714186172216026e-01
1.128479869776746725e+01 6.994300000000000000e+04 6.442564279737868216e-02 2.287412527351861158e+01 5.096190476308138928e-01 5.328406351858894219e-01 6.741964435373504205e-01 7.974373751329468796e-01
1.139174321454733096e+01 7.109700000000000000e+04 6.275185127874416402e-02 2.259793297263896861e+01 4.982514412119153357e-01 5.214090478224658876e-01 6.627363606959898457e-01 7.766622542742296353e-01
1.149880450752246830e+01 7.302100000000000000e+04 6.148088357842165785e-02 2.243761356683571151e+01 4.892842096867027202e-01 5.125508558076247168e-01 6.547714915579531114e-01 7.600239322571216150e-01
1.160566245799083163e+01 7.331700000000000000e+04 6.025645336103503669e-02 2.243349715825419821e+01 4.838331513968897046e-01 5.074333138927906717e-01 6.519012715093377430e-01 7.521192833634127162e-01
1.171250628324384913e+01 7.579900000000000000e+04 5.856607497608777579e-02 2.219087992585730973e+01 4.737908301336153372e-01 4.973907181633245855e-01 6.421831779512603422e-01 7.360212950563135292e-01
1.181934119405252126e+01 7.602100000000000000e+04 5.745741212583042185e-02 2.207206366400557229e+01 4.670862066321019856e-01 4.907025214022116555e-01 6.357471481412441117e-01 7.219715157401938033e-01
1.192631111688620749e+01 7.875300000000000000e+04 5.642682069118759580e-02 2.203309977391443297e+01 4.622558198503822768e-01 4.861180442020394676e-01 6.328928910482810588e-01 7.163217624255069360e-01
1.203348273281565639e+01 7.929100000000000000e+04 5.488513196346037071e-02 2.184088412838636017e+01 4.535563202527511106e-01 4.773854460977903780e-01 6.242002222943929812e-01 7.000274604907835707e-01
1.214055985810916383e+01 8.112900000000000000e+04 5.374306092322155698e-02 2.149269653160861537e+01 4.428436052944088597e-01 4.665342704775310989e-01 6.129088460096643320e-01 6.840715721934879090e-01
1.224764581670525487e+01 8.244100000000000000e+04 5.296695923879596313e-02 2.169103050105166730e+01 4.420751720339992086e-01 4.662836483382175601e-01 6.158827532883703881e-01 6.830886617732989663e-01
1.235475955146996618e+01 8.394900000000000000e+04 5.159722933617303525e-02 2.138605730495123680e+01 4.321006228106921143e-01 4.561149639279042933e-01 6.049009681583878972e-01 6.656801363864871535e-01
1.246170868629520356e+01 8.512300000000000000e+04 5.055426899421664594e-02 2.117667553688000126e+01 4.237265755129400180e-01 4.477934376200365385e-01 5.971414224986111297e-01 6.531245396241619483e-01
1.256871984773144391e+01 8.692900000000000000e+04 4.926920585198485414e-02 2.107292119566440647e+01 4.172281831463242607e-01 4.413066996506075923e-01 5.910349307019880927e-01 6.398020446496816005e-01
1.267556509008165300e+01 8.778900000000000000e+04 4.842369307002519080e-02 2.082231185240653915e+01 4.088352890355740343e-01 4.329116175739358696e-01 5.828703194298413548e-01 6.282331424241073270e-01
1.278215054488526725e+01 8.962300000000000000e+04 4.728523517393930925e-02 2.068957122973768747e+01 4.028765790153269744e-01 4.270024130569248788e-01 5.775464238438148268e-01 6.200629060651327018e-01
1.288921628097667060e+01 9.134100000000000000e+04 4.654781383555453567e-02 2.073072144614931034e+01 3.997326179030604165e-01 4.240768336946783013e-01 5.761592884627035893e-01 6.132400631438622574e-01
1.299627419393003436e+01 9.284500000000000000e+04 4.537558579592972791e-02 2.037457502501528239e+01 3.897309450044281198e-01 4.137588048395940965e-01 5.643071853565617690e-01 5.956611150179724756e-01
1.310322818283827040e+01 9.408700000000000000e+04 4.455422360021447231e-02 2.051508886357774486e+01 3.871392167928766059e-01 4.116486498089603763e-01 5.653209033508331816e-01 5.912205363623616039e-01
1.321036975158216542e+01 9.633300000000000000e+04 4.377114724924521805e-02 2.035732569777551859e+01 3.814198216388715590e-01 4.059286538645487941e-01 5.599371889740396568e-01 5.836956362098433271e-01
1.331751535780655615e+01 9.724900000000000000e+04 4.295195748651729761e-02 2.026414278074881281e+01 3.759212113811836731e-01 4.005594778616515250e-01 5.556210146141071782e-01 5.755915810196182703e-01
1.342474867294321506e+01 9.950100000000000000e+04 4.191680851485301423e-02 2.019050389309348503e+01 3.706401641278812553e-01 3.953256703974871722e-01 5.509846737822737817e-01 5.652504056873829397e-01
1.353129389874869304e+01 9.928300000000000000e+04 4.110039478152177628e-02 1.991845312430045212e+01 3.632552476176379441e-01 3.877484605309712840e-01 5.425213953055804117e-01 5.540546302557952663e-01
1.363786108536308284e+01 1.025370000000000000e+05 4.006290852967357707e-02 1.973885889675250382e+01 3.568357898741762457e-01 3.812442548741196147e-01 5.357812127313560380e-01 5.433759927892894970e-01
1.374490230845374406e+01 1.034770000000000000e+05 3.948285235135062798e-02 1.974057738234185067e+01 3.536231877338291696e-01 3.782282777707565713e-01 5.341749658787642296e-01 5.383019464541756172e-01
