# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
1.246170868629520356e+01 8.512300000000000000e+04 6.042120268139624523e-02 2.151199624013772294e+00 6.090941746756719510e-01 6.180172171018819549e-01 6.706624646826082614e-01 2.914239478552449469e-01
1.256871984773144391e+01 8.692900000000000000e+04 5.903653505470435325e-02 2.137567910133565174e+00 6.011381656703802534e-01 6.103391582318412611e-01 6.645565624817100225e-01 2.863911595930229148e-01
1.267556509008165300e+01 8.778900000000000000e+04 5.751719816755514886e-02 2.113672766596398578e+00 5.918998213587532975e-01 6.011282716847965446e-01 6.555811696249542742e-01 2.805479074292296926e-01
1.278215054488526725e+01 8.962300000000000000e+04 5.668846108072856521e-02 2.097582060478584864e+00 5.856328182759076295e-01 5.949567279281734455e-01 6.499935765709408120e-01 2.774238819510930210e-01
1.288921628097667060e+01 9.134100000000000000e+04 5.565349807545357658e-02 2.097202839960987220e+00 5.821767761003276975e-01 5.917420765658094606e-01 6.481691873106159019e-01 2.744982964438580364e-01
1.299627419393003436e+01 9.284500000000000000e+04 5.443628473749641261e-02 2.070539487910156851e+00 5.723588035785661665e-01 5.819739143679120152e-01 6.387486021509098943e-01 2.689158195621281777e-01
1.310322818283827040e+01 9.408700000000000000e+04 5.345246211027768202e-02 2.065019296994257125e+00 5.676060162872024195e-01 5.774597766340212601e-01 6.356280627350715529e-01 2.658042538144719802e-01
1.321036975158216542e+01 9.633300000000000000e+04 5.285621853205178799e-02 2.057590755254246950e+00 5.635307720837327006e-01 5.735829298867105575e-01 6.329195609607313200e-01 2.642167675818579697e-01
1.331751535780655615e+01 9.724900000000000000e+04 5.153561188978727364e-02 2.028268416553228981e+00 5.527365432551230029e-01 5.628091611586494292e-01 6.223279468830802408e-01 2.576046148561320082e-01
1.342474867294321506e+01 9.950100000000000000e+04 5.061383822561048990e-02 2.027596221620537875e+00 5.494917660084428501e-01 5.598166356470631877e-01 6.207945440060849140e-01 2.553404656159619646e-01
1.353129389874869304e+01 9.928300000000000000e+04 4.978294862992900527e-02 1.999613844039312749e+00 5.403412454452513058e-01 5.506722850629859334e-01 6.117567112096329307e-01 2.509449637693199620e-01
1.363786108536308284e+01 1.025370000000000000e+05 4.869044085442675307e-02 1.982213097500059140e+00 5.333318289503532483e-01 5.437216158148178158e-01 6.051608883128228866e-01 2.465627599329869302e-01
1.374490230845374406e+01 1.034770000000000000e+05 4.776646111353648888e-02 1.974899348004589328e+00 5.289234276588673511e-01 5.394657197950578631e-01 6.018364542476424273e-01 2.438611071204416503e-01
1.385193069726773629e+01 1.057510000000000000e+05 4.677239208783517954e-02 1.952593577607620867e+00 5.205659771191218921e-01 5.311480332142625160e-01 5.937995422120585509e-01 2.388661042072556806e-01
1.395905797399066373e+01 1.068690000000000000e+05 4.618183418998330486e-02 1.950337625063282010e+00 5.171538761495738656e-01 5.279916259088689445e-01 5.921325297245126906e-01 2.369099373146413001e-01
1.406597435666659734e+01 1.086970000000000000e+05 4.524686873421331773e-02 1.928972255731449259e+00 5.097445189704226109e-01 5.205979307787889088e-01 5.848942461211664723e-01 2.330367109994157804e-01
1.417313725496801702e+01 1.105770000000000000e+05 4.441361669068463053e-02 1.907900223456949540e+00 5.018948867745691711e-01 5.128196567384371019e-01 5.776261008228260607e-01 2.289110876833064523e-01
1.428050071703563439e+01 1.125550000000000000e+05 4.389971041214923292e-02 1.914770494384113508e+00 5.017745093356842379e-01 5.128787925582601881e-01 5.787770966369338854e-01 2.282316393868473736e-01
1.438720546714719184e+01 1.125930000000000000e+05 4.297270488134381089e-02 1.894561307475520540e+00 4.937040351466812638e-01 5.049441686788933570e-01 5.716576696422532855e-01 2.240444335969785650e-01
1.449386407502666252e+01 1.155730000000000000e+05 4.239363035339517582e-02 1.883541333460167166e+00 4.893355358050427428e-01 5.006291153732974619e-01 5.677072644222664888e-01 2.216634728346524585e-01
1.460097753724270397e+01 1.172830000000000000e+05 4.139583718087499337e-02 1.867860490997536038e+00 4.820591169948851284e-01 4.935125221598581358e-01 5.615752877756250427e-01 2.173449600944369342e-01
1.470799705009661729e+01 1.185810000000000000e+05 4.076591955388422089e-02 1.859752007501212168e+00 4.787020211557654892e-01 4.901467751602073819e-01 5.582547849336303436e-01 2.148724265856658544e-01
